TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
109,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,512,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
110,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,512,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
111,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,1024,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
112,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,1024,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
113,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,2048,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
114,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,2048,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
115,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,4096,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
116,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,4096,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
117,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,8192,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
118,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,8192,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
119,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,2,16384,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
120,ROCm,Graphics,DeepSeek-V2-Lite-Down,2,16384,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
121,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,512,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
122,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,512,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
123,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,1024,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
124,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,1024,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
125,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,2048,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
126,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,2048,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
127,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,4096,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
128,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,4096,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
129,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,8192,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
130,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,8192,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
131,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,4,16384,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
132,ROCm,Graphics,DeepSeek-V2-Lite-Down,4,16384,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
133,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,512,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
134,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,512,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
135,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,1024,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
136,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,1024,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
137,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,2048,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
138,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,2048,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
139,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,4096,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
140,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,4096,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
141,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,8192,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
142,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,8192,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
143,ROCm,Graphics,DeepSeek-V2-Lite-GateUP,8,16384,2816,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
144,ROCm,Graphics,DeepSeek-V2-Lite-Down,8,16384,2048,1408,bf16,ERROR,ERROR,0.00,ERROR,0.00
145,ROCm,Graphics,Grok-2-GateUP,1,512,32768,8192,bf16,PASS,0.17,1619.92,7.84,70.09
146,ROCm,Graphics,Grok-2-Down,1,512,8192,16384,bf16,PASS,0.10,1443.96,3.96,69.44
147,ROCm,Graphics,Grok-2-GateUP,1,1024,32768,8192,bf16,PASS,0.26,2155.31,15.23,72.17
148,ROCm,Graphics,Grok-2-Down,1,1024,8192,16384,bf16,PASS,0.15,1892.01,7.66,71.81
149,ROCm,Graphics,Grok-2-GateUP,1,2048,32768,8192,bf16,PASS,0.48,2273.55,30.10,73.05
150,ROCm,Graphics,Grok-2-Down,1,2048,8192,16384,bf16,PASS,0.24,2333.00,15.07,72.96
151,ROCm,Graphics,Grok-2-GateUP,1,4096,32768,8192,bf16,PASS,0.97,2274.99,60.24,73.01
152,ROCm,Graphics,Grok-2-Down,1,4096,8192,16384,bf16,PASS,0.47,2324.08,30.62,71.81
153,ROCm,Graphics,Grok-2-GateUP,1,8192,32768,8192,bf16,PASS,1.96,2244.96,123.14,71.43
154,ROCm,Graphics,Grok-2-Down,1,8192,8192,16384,bf16,PASS,0.95,2320.98,64.27,68.43
155,ROCm,Graphics,Grok-2-GateUP,1,16384,32768,8192,bf16,PASS,4.03,2184.78,264.25,66.57
156,ROCm,Graphics,Grok-2-Down,1,16384,8192,16384,bf16,PASS,1.93,2283.75,131.99,66.64
157,ROCm,Graphics,GPT-OSS-20B-GateUP,1,512,5760,2880,bf16,PASS,0.03,513.81,0.59,58.00
158,ROCm,Graphics,GPT-OSS-20B-Down,1,512,2880,2880,bf16,PASS,0.03,250.95,0.30,57.38
159,ROCm,Graphics,GPT-OSS-20B-GateUP,1,1024,5760,2880,bf16,PASS,0.03,1011.13,0.99,68.56
