TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
200,ROCm,Graphics,Qwen3-30B-A3B-Down,4,4096,2048,2048,bf16,PASS,0.11,1227.59,0.30,921.11
201,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,8192,4096,2048,bf16,PASS,0.43,1270.49,1.00,1095.75
202,ROCm,Graphics,Qwen3-30B-A3B-Down,4,8192,2048,2048,bf16,PASS,0.22,1236.38,0.55,992.81
203,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,16384,4096,2048,bf16,PASS,0.86,1282.65,1.94,1131.07
204,ROCm,Graphics,Qwen3-30B-A3B-Down,4,16384,2048,2048,bf16,PASS,0.43,1264.80,1.06,1036.80
205,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,512,4096,2048,bf16,PASS,0.07,1051.40,0.27,517.29
206,ROCm,Graphics,Qwen3-30B-A3B-Down,8,512,2048,2048,bf16,PASS,0.07,524.13,0.17,400.43
207,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,1024,4096,2048,bf16,PASS,0.12,1192.18,0.34,809.78
208,ROCm,Graphics,Qwen3-30B-A3B-Down,8,1024,2048,2048,bf16,PASS,0.07,1049.22,0.19,712.17
209,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,2048,4096,2048,bf16,PASS,0.23,1220.80,0.57,958.94
210,ROCm,Graphics,Qwen3-30B-A3B-Down,8,2048,2048,2048,bf16,PASS,0.11,1205.47,0.33,843.80
211,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,4096,4096,2048,bf16,PASS,0.44,1252.08,1.04,1053.92
212,ROCm,Graphics,Qwen3-30B-A3B-Down,8,4096,2048,2048,bf16,PASS,0.22,1228.33,0.58,948.40
213,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,8192,4096,2048,bf16,PASS,0.86,1272.43,1.98,1108.32
214,ROCm,Graphics,Qwen3-30B-A3B-Down,8,8192,2048,2048,bf16,PASS,0.44,1257.19,1.09,1008.48
215,ROCm,Graphics,Qwen3-30B-A3B-GateUP,8,16384,4096,2048,bf16,PASS,1.72,1281.44,3.88,1134.57
216,ROCm,Graphics,Qwen3-30B-A3B-Down,8,16384,2048,2048,bf16,PASS,0.86,1279.00,2.10,1047.46
